EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome2,SalarySlab,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM701,58,55+,Yes,Travel_Rarely,Research & Development,3,Technical Degree,4,Male,3,Research Scientist,3,Single," 2,479","? 2,479",Upto 5k,4,No,24,4,7,4,3,1,0,0,0
RM967,58,55+,Yes,Travel_Rarely,Research & Development,4,Medical,3,Female,2,Manufacturing Director,1,Married," 10,008","? 10,008",10k-15k,7,Yes,14,3,31,0,2,10,9,5,9
RM1054,57,55+,No,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,4,Research Scientist,3,Married," 4,900","? 4,900",Upto 5k,0,No,24,4,13,2,2,12,9,2,8
RM164,57,55+,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,4,Healthcare Representative,4,Divorced," 9,439","? 9,439",5k-10k,3,Yes,16,3,12,2,1,5,3,1,4
RM361,57,55+,No,Travel_Rarely,Research & Development,4,Medical,4,Male,3,Healthcare Representative,3,Married," 6,755","? 6,755",5k-10k,2,No,11,3,15,2,3,3,2,1,
RM425,57,55+,No,Travel_Rarely,Sales,3,Marketing,1,Male,2,Manager,4,Divorced," 14,118","? 14,118",10k-15k,3,No,12,3,32,3,2,1,0,0,0
RM086,56,55+,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,1,Manufacturing Director,4,Single," 7,260","? 7,260",5k-10k,4,No,11,3,37,3,2,6,4,0,2
RM1024,56,55+,No,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,3,Research Scientist,1,Married," 2,066","? 2,066",Upto 5k,2,No,22,4,5,3,4,3,2,1,0
RM1372,56,55+,No,Travel_Rarely,Sales,5,Marketing,4,Female,2,Sales Executive,1,Married," 5,380","? 5,380",5k-10k,4,No,16,3,6,3,3,0,0,0,0
RM1442,56,55+,No,Non-Travel,Research & Development,4,Life Sciences,3,Male,3,Healthcare Representative,3,Divorced," 6,306","? 6,306",5k-10k,1,No,21,4,13,2,2,13,12,1,9
RM176,56,55+,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,3,Research Scientist,1,Divorced," 4,257","? 4,257",Upto 5k,4,Yes,18,3,19,3,3,2,2,2,2
RM402,56,55+,No,Travel_Frequently,Sales,3,Life Sciences,3,Female,4,Sales Executive,1,Married," 13,212","? 13,212",10k-15k,9,No,11,3,36,0,2,7,7,7,7
RM553,56,55+,No,Travel_Rarely,Research & Development,3,Medical,3,Male,3,Healthcare Representative,4,Married," 11,103","? 11,103",10k-15k,7,No,11,3,30,1,2,10,7,1,1
RM773,56,55+,No,Travel_Frequently,Research & Development,3,Medical,1,Female,3,Research Scientist,3,Married," 2,942","? 2,942",Upto 5k,2,No,19,3,18,4,3,5,4,0,3
RM852,56,55+,No,Travel_Rarely,Research & Development,4,Technical Degree,4,Female,3,Manager,1,Divorced," 19,943","? 19,943",15k+,4,No,13,3,28,2,3,5,2,4,2
RM957,56,55+,No,Travel_Rarely,Human Resources,4,Life Sciences,4,Male,3,Manager,2,Single," 19,717","? 19,717",15k+,6,No,14,3,36,4,3,7,3,7,7
RM977,56,55+,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,3,Manufacturing Director,2,Married," 13,402","? 13,402",10k-15k,4,Yes,12,3,33,0,3,19,16,15,9
RM123,56,55+,Yes,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,3,Research Scientist,2,Married," 4,963","? 4,963",Upto 5k,9,Yes,18,3,7,2,3,5,4,4,3
RM1355,56,55+,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,3,Laboratory Technician,4,Single," 2,587","? 2,587",Upto 5k,1,No,16,3,5,3,3,4,2,1,0
RM1445,56,55+,Yes,Travel_Rarely,Research & Development,2,Technical Degree,4,Male,3,Laboratory Technician,3,Married," 2,339","? 2,339",Upto 5k,8,No,11,3,14,4,1,10,9,9,8
RM066,55,46-55,No,Travel_Rarely,Research & Development,3,Medical,4,Female,3,Manager,3,Divorced," 14,756","? 14,756",10k-15k,2,Yes,14,3,21,2,3,5,0,0,2
RM083,55,46-55,No,Travel_Rarely,Sales,2,Life Sciences,1,Male,3,Sales Executive,4,Married," 10,239","? 10,239",10k-15k,3,No,14,3,24,4,3,1,0,1,0
RM1011,55,46-55,No,Travel_Rarely,Research & Development,4,Medical,2,Male,4,Research Director,4,Divorced," 14,732","? 14,732",10k-15k,2,No,13,3,31,4,4,7,7,0,0
RM1066,55,46-55,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,Healthcare Representative,3,Married," 4,035","? 4,035",Upto 5k,0,Yes,16,3,4,2,3,3,2,1,2
RM1117,55,46-55,No,Travel_Rarely,Sales,5,Marketing,3,Male,2,Manager,4,Married," 19,586","? 19,586",15k+,1,No,21,4,36,3,3,36,6,2,13
RM1208,55,46-55,No,Travel_Rarely,Research & Development,3,Technical Degree,1,Male,2,Research Scientist,2,Divorced," 3,537","? 3,537",Upto 5k,5,No,12,3,8,1,3,4,2,1,2
RM1265,55,46-55,No,Travel_Rarely,Research & Development,3,Medical,3,Male,2,Research Director,1,Married," 19,038","? 19,038",15k+,8,No,12,3,34,2,3,1,0,0,0
RM1337,55,46-55,No,Travel_Rarely,Research & Development,4,Technical Degree,2,Male,2,Research Scientist,4,Married," 2,662","? 2,662",Upto 5k,8,No,20,4,19,2,4,5,2,0,4
RM1402,55,46-55,No,Travel_Rarely,Human Resources,4,Human Resources,3,Male,4,Manager,2,Married," 19,636","? 19,636",15k+,4,Yes,18,3,35,0,3,10,9,1,4
RM188,55,46-55,No,Travel_Rarely,Research & Development,4,Medical,3,Male,4,Research Director,2,Single," 18,722","? 18,722",15k+,8,No,11,3,36,3,3,24,15,2,15
RM271,55,46-55,No,Travel_Rarely,Research & Development,3,Medical,4,Male,3,Manager,1,Single," 19,045","? 19,045",15k+,0,Yes,14,3,37,2,3,36,10,4,13
RM284,55,46-55,No,Travel_Rarely,Research & Development,2,Technical Degree,2,Male,3,Laboratory Technician,4,Married," 5,415","? 5,415",5k-10k,3,Yes,19,3,12,4,3,10,7,0,8
RM380,55,46-55,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,3,Manager,4,Single," 16,659","? 16,659",15k+,2,Yes,13,3,30,2,3,5,4,1,2
RM446,55,46-55,No,Travel_Rarely,Sales,5,Life Sciences,1,Female,3,Manager,2,Single," 16,835","? 16,835",15k+,3,No,23,4,37,2,3,10,9,7,7
RM746,55,46-55,No,Travel_Frequently,Research & Development,4,Medical,3,Male,3,Healthcare Representative,2,Married," 6,385","? 6,385",5k-10k,3,Yes,14,3,17,3,3,8,7,6,7
RM775,55,46-55,No,Non-Travel,Research & Development,1,Medical,3,Male,2,Manager,1,Single," 16,756","? 16,756",15k+,7,No,15,3,31,3,4,9,7,6,2
RM788,55,46-55,No,Travel_Frequently,Research & Development,1,Life Sciences,4,Male,3,Manufacturing Director,2,Married," 10,976","? 10,976",10k-15k,3,No,18,3,23,4,3,3,2,1,2
RM915,55,46-55,No,Non-Travel,Research & Development,1,Medical,4,Male,2,Healthcare Representative,2,Divorced," 13,577","? 13,577",10k-15k,1,Yes,15,3,34,3,3,33,9,15,0
RM956,55,46-55,No,Travel_Rarely,Research & Development,2,Medical,4,Female,1,Manager,3,Married," 19,187","? 19,187",15k+,4,No,14,3,23,5,3,19,9,9,11
RM569,55,46-55,Yes,Travel_Rarely,Research & Development,3,Medical,4,Male,3,Manager,1,Married," 19,859","? 19,859",15k+,5,Yes,13,3,24,2,3,5,2,1,4
RM609,55,46-55,Yes,Travel_Rarely,Sales,1,Medical,3,Male,3,Sales Executive,4,Single," 5,160","? 5,160",5k-10k,4,No,16,3,12,3,2,9,7,7,3
RM976,55,46-55,Yes,Travel_Rarely,Sales,4,Marketing,1,Male,4,Sales Executive,3,Single," 13,695","? 13,695",10k-15k,6,Yes,17,3,24,2,2,19,7,3,8
RM096,54,46-55,No,Travel_Rarely,Research & Development,4,Technical Degree,1,Female,3,Research Director,3,Married," 13,549","? 13,549",10k-15k,9,No,12,3,16,5,1,4,3,0,3
RM1009,54,46-55,No,Travel_Rarely,Research & Development,3,Medical,4,Female,3,Research Director,4,Single," 17,328","? 17,328",15k+,6,No,19,3,29,3,2,20,7,12,7
RM1077,54,46-55,No,Travel_Frequently,Research & Development,4,Medical,2,Female,3,Manager,4,Divorced," 16,032","? 16,032",15k+,3,No,20,4,26,2,3,14,9,1,12
RM113,54,46-55,No,Non-Travel,Human Resources,3,Human Resources,4,Female,4,Manager,4,Single," 17,328","? 17,328",15k+,2,Yes,12,3,23,3,3,5,3,4,4
RM1185,54,46-55,No,Travel_Rarely,Research & Development,5,Medical,2,Female,3,Manager,3,Married," 17,426","? 17,426",15k+,3,No,25,4,36,6,3,10,8,4,7
RM1306,54,46-55,No,Travel_Rarely,Research & Development,4,Medical,4,Female,3,Research Scientist,4,Married," 6,854","? 6,854",5k-10k,4,No,15,3,14,2,2,7,1,1,7
RM1398,54,46-55,No,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,3,Research Scientist,3,Married," 2,897","? 2,897",Upto 5k,3,No,11,3,9,6,2,4,3,2,3
RM1407,54,46-55,No,Travel_Rarely,Research & Development,3,Medical,3,Female,3,Manufacturing Director,1,Single," 4,440","? 4,440",Upto 5k,6,Yes,19,3,9,3,3,5,2,1,4
RM220,54,46-55,No,Travel_Rarely,Sales,3,Marketing,4,Female,3,Sales Executive,1,Married," 5,940","? 5,940",5k-10k,2,No,14,3,16,4,3,6,2,0,5
RM333,54,46-55,No,Travel_Frequently,Research & Development,4,Life Sciences,4,Female,3,Research Scientist,3,Single," 4,869","? 4,869",Upto 5k,3,No,12,3,20,4,2,4,3,0,3
RM393,54,46-55,No,Travel_Rarely,Research & Development,2,Medical,1,Male,3,Research Director,1,Married," 19,406","? 19,406",15k+,4,No,11,3,24,4,2,4,2,1,2
RM432,54,46-55,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Female,3,Laboratory Technician,3,Single," 3,780","? 3,780",Upto 5k,7,No,11,3,19,3,3,1,0,0,0
RM511,54,46-55,No,Travel_Rarely,Human Resources,4,Medical,3,Male,3,Human Resources,2,Married," 10,725","? 10,725",10k-15k,2,No,15,3,16,1,4,9,7,7,1
RM576,54,46-55,No,Travel_Rarely,Research & Development,4,Medical,4,Female,3,Manufacturing Director,1,Divorced," 5,485","? 5,485",5k-10k,9,Yes,11,3,9,4,3,5,3,1,4
RM729,54,46-55,No,Travel_Rarely,Research & Development,3,Technical Degree,3,Female,3,Manufacturing Director,3,Married," 10,739","? 10,739",10k-15k,8,No,11,3,22,2,3,10,7,0,8
RM772,54,46-55,No,Travel_Rarely,Sales,4,Life Sciences,3,Female,2,Sales Executive,3,Married," 10,686","? 10,686",10k-15k,6,No,11,3,13,4,3,9,4,7,0
RM891,54,46-55,No,Travel_Frequently,Research & Development,4,Life Sciences,4,Female,3,Manufacturing Director,3,Divorced," 10,502","? 10,502",10k-15k,7,No,17,3,33,2,1,5,4,1,4
RM895,54,46-55,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,3,Research Director,4,Married," 17,779","? 17,779",15k+,3,No,14,3,36,2,3,10,9,0,9
RM019,53,46-55,No,Travel_Rarely,Sales,4,Life Sciences,1,Female,2,Manager,4,Married," 15,427","? 15,427",15k+,2,No,16,3,31,3,3,25,8,3,7
RM026,53,46-55,No,Travel_Rarely,Research & Development,3,Other,3,Female,3,Manager,3,Divorced," 19,094","? 19,094",15k+,4,No,11,3,26,3,2,14,13,4,
RM1044,53,46-55,No,Travel_Rarely,Research & Development,3,Medical,4,Male,4,Research Director,2,Single," 16,598","? 16,598",15k+,4,No,12,3,35,2,2,9,8,8,8
RM1204,53,46-55,No,Travel_Rarely,Research & Development,4,Medical,2,Male,4,Healthcare Representative,4,Married," 7,005","? 7,005",5k-10k,3,No,15,3,11,2,3,4,3,1,2
RM1269,53,46-55,No,Non-Travel,Research & Development,4,Medical,1,Female,2,Manufacturing Director,3,Married," 12,965","? 12,965",10k-15k,4,Yes,20,4,27,2,2,3,2,0,2
RM153,53,46-55,No,Travel_Rarely,Sales,2,Marketing,2,Male,3,Sales Representative,3,Married," 2,306","? 2,306",Upto 5k,2,Yes,20,4,13,3,1,7,7,4,5
RM185,53,46-55,No,Travel_Rarely,Research & Development,2,Medical,4,Female,4,Manufacturing Director,1,Divorced," 4,450","? 4,450",Upto 5k,1,No,11,3,5,3,3,4,2,1,3
RM281,53,46-55,No,Travel_Rarely,Research & Development,4,Medical,3,Male,3,Research Director,3,Married," 17,584","? 17,584",15k+,3,Yes,16,3,21,5,2,5,3,1,3
RM503,53,46-55,No,Travel_Rarely,Sales,1,Medical,4,Female,3,Sales Executive,1,Single," 8,381","? 8,381",5k-10k,7,No,20,4,18,2,4,14,7,8,10
RM535,53,46-55,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,4,Research Director,3,Married," 14,814","? 14,814",10k-15k,3,No,19,3,32,3,3,5,1,1,3
RM557,53,46-55,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,3,Laboratory Technician,4,Single," 2,450","? 2,450",Upto 5k,2,No,17,3,19,4,3,2,2,2,2
RM625,53,46-55,No,Travel_Rarely,Sales,2,Marketing,1,Female,2,Sales Executive,4,Married," 10,934","? 10,934",10k-15k,7,Yes,18,3,35,3,3,5,2,0,4
RM647,53,46-55,No,Travel_Rarely,Sales,3,Marketing,1,Male,3,Sales Executive,4,Married," 11,836","? 11,836",10k-15k,5,No,14,3,28,3,3,2,0,2,2
RM650,53,46-55,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Female,3,Research Director,4,Single," 14,275","? 14,275",10k-15k,6,No,18,3,33,0,3,12,9,3,8
RM702,53,46-55,No,Travel_Rarely,Sales,2,Medical,3,Male,3,Manager,3,Divorced," 14,852","? 14,852",10k-15k,6,No,13,3,22,3,4,17,13,15,2
RM761,53,46-55,No,Travel_Frequently,Sales,3,Marketing,3,Female,2,Sales Executive,2,Married," 7,525","? 7,525",5k-10k,2,No,12,3,30,2,3,15,7,6,12
RM859,53,46-55,No,Travel_Rarely,Research & Development,2,Medical,4,Female,3,Manager,3,Divorced," 18,606","? 18,606",15k+,3,No,18,3,26,6,3,7,7,4,7
RM1112,53,46-55,Yes,Travel_Rarely,Research & Development,5,Technical Degree,3,Female,2,Manufacturing Director,4,Married," 10,169","? 10,169",10k-15k,0,No,16,3,34,4,3,33,7,1,9
RM1397,53,46-55,Yes,Travel_Rarely,Sales,4,Life Sciences,1,Male,3,Sales Executive,1,Single," 10,448","? 10,448",10k-15k,6,Yes,13,3,15,2,2,2,2,2,2
RM1001,52,46-55,No,Travel_Rarely,Research & Development,4,Other,3,Female,3,Laboratory Technician,1,Married," 2,950","? 2,950",Upto 5k,9,No,13,3,12,2,1,5,4,0,4
RM1435,52,46-55,No,Non-Travel,Sales,4,Life Sciences,1,Male,3,Sales Representative,4,Divorced," 3,482","? 3,482",Upto 5k,2,No,15,3,16,3,2,9,8,0,0
RM191,52,46-55,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,2,Manager,3,Married," 19,999","? 19,999",15k+,0,No,14,3,34,5,3,33,18,11,9
RM231,52,46-55,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,2,Laboratory Technician,4,Single," 3,212","? 3,212",Upto 5k,7,No,15,3,6,3,2,2,2,2,2
RM238,52,46-55,No,Non-Travel,Sales,4,Life Sciences,1,Male,2,Manager,3,Single," 19,068","? 19,068",15k+,1,Yes,18,3,33,2,4,33,7,15,12
RM407,52,46-55,No,Travel_Rarely,Research & Development,3,Medical,4,Male,2,Manufacturing Director,3,Married," 7,969","? 7,969",5k-10k,2,Yes,14,3,28,4,3,5,4,0,
RM409,52,46-55,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,3,Manager,4,Married," 16,555","? 16,555",15k+,2,No,13,3,31,2,1,5,2,1,4
RM469,52,46-55,No,Travel_Rarely,Research & Development,2,Technical Degree,4,Male,3,Research Scientist,1,Divorced," 5,577","? 5,577",5k-10k,3,Yes,12,3,18,3,3,10,9,6,9
RM562,52,46-55,No,Travel_Rarely,Sales,4,Marketing,3,Male,2,Manager,1,Married," 16,856","? 16,856",15k+,1,No,11,3,34,3,4,34,6,1,16
RM571,52,46-55,No,Non-Travel,Research & Development,4,Medical,4,Male,3,Research Scientist,4,Married," 4,258","? 4,258",Upto 5k,0,No,18,3,5,3,3,4,3,1,2
RM588,52,46-55,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Female,3,Laboratory Technician,3,Married," 3,149","? 3,149",Upto 5k,8,No,20,4,9,3,3,5,2,1,4
RM628,52,46-55,No,Travel_Frequently,Research & Development,4,Medical,3,Female,2,Manufacturing Director,4,Married," 13,826","? 13,826",10k-15k,3,No,22,4,31,3,3,9,8,0,0
RM700,52,46-55,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,3,Manager,4,Married," 17,099","? 17,099",15k+,2,No,15,3,26,2,2,9,8,7,8
RM807,52,46-55,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Male,3,Healthcare Representative,2,Single," 10,445","? 10,445",10k-15k,7,No,19,3,18,4,3,8,6,4,0
RM995,52,46-55,No,Travel_Frequently,Research & Development,2,Medical,4,Female,4,Manufacturing Director,3,Married," 13,247","? 13,247",10k-15k,2,Yes,11,3,24,3,2,5,3,0,2
RM318,52,46-55,Yes,Travel_Rarely,Research & Development,4,Medical,3,Male,2,Research Scientist,2,Married," 4,941","? 4,941",Upto 5k,2,No,15,3,11,3,2,8,2,7,7
RM750,52,46-55,Yes,Travel_Rarely,Sales,1,Marketing,1,Female,1,Manager,4,Married," 19,845","? 19,845",15k+,1,No,15,3,33,3,3,32,14,6,9
RM948,52,46-55,Yes,Travel_Rarely,Sales,3,Life Sciences,2,Male,3,Sales Executive,2,Single," 8,446","? 8,446",5k-10k,9,Yes,19,3,10,2,2,8,7,7,7
RM088,51,46-55,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,Laboratory Technician,4,Married," 2,075","? 2,075",Upto 5k,3,No,23,4,10,4,3,4,2,0,3
RM092,51,46-55,No,Travel_Rarely,Sales,4,Marketing,3,Male,3,Sales Executive,4,Single," 5,441","? 5,441",5k-10k,0,Yes,22,4,11,2,1,10,7,1,0
RM111,51,46-55,No,Travel_Frequently,Research & Development,4,Medical,1,Female,2,Healthcare Representative,1,Single," 7,484","? 7,484",5k-10k,3,No,20,4,23,1,2,13,12,12,8
RM124,51,46-55,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,Research Director,3,Single," 19,537","? 19,537",15k+,7,No,13,3,23,5,3,20,18,15,15
RM1276,51,46-55,No,Travel_Rarely,Research & Development,3,Technical Degree,1,Female,3,Manager,3,Married," 13,116","? 13,116",10k-15k,2,No,11,3,15,2,3,2,2,2,2
RM157,51,46-55,No,Travel_Rarely,Research & Development,4,Medical,2,Male,2,Manufacturing Director,3,Married," 6,132","? 6,132",5k-10k,2,No,17,3,10,2,3,1,0,0,0
RM190,51,46-55,No,Travel_Rarely,Research & Development,3,Medical,4,Female,3,Healthcare Representative,2,Single," 13,734","? 13,734",10k-15k,3,No,18,3,21,6,3,7,7,1,0
RM214,51,46-55,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Male,2,Research Director,2,Married," 12,490","? 12,490",10k-15k,5,No,16,3,16,5,1,10,9,4,7
RM259,51,46-55,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,3,Research Scientist,4,Married," 2,723","? 2,723",Upto 5k,1,No,11,3,1,0,2,1,0,0,
RM300,51,46-55,No,Travel_Rarely,Research & Development,3,Medical,4,Male,1,Manufacturing Director,2,Divorced," 5,482","? 5,482",5k-10k,5,No,18,3,13,3,3,4,1,1,2
RM377,51,46-55,No,Travel_Rarely,Sales,2,Life Sciences,3,Female,3,Sales Executive,4,Married," 4,936","? 4,936",Upto 5k,4,No,11,3,18,2,2,7,7,0,7
RM617,51,46-55,No,Travel_Rarely,Sales,4,Marketing,1,Female,3,Manager,3,Married," 16,307","? 16,307",15k+,2,No,14,3,29,2,2,20,6,4,17
RM919,51,46-55,No,Travel_Frequently,Sales,3,Life Sciences,4,Male,3,Manager,2,Divorced," 19,847","? 19,847",15k+,4,Yes,24,4,31,5,2,29,10,11,10
RM931,51,46-55,No,Travel_Frequently,Research & Development,2,Medical,2,Female,2,Laboratory Technician,3,Single," 2,838","? 2,838",Upto 5k,0,No,14,3,8,6,2,7,0,7,7
RM963,51,46-55,No,Travel_Rarely,Human Resources,3,Life Sciences,3,Male,3,Manager,2,Divorced," 14,026","? 14,026",10k-15k,1,Yes,11,3,33,2,3,33,9,0,10
RM972,51,46-55,No,Travel_Rarely,Research & Development,2,Technical Degree,4,Female,2,Manufacturing Director,2,Single," 13,142","? 13,142",10k-15k,3,No,16,3,29,1,2,5,2,0,3
RM988,51,46-55,No,Travel_Frequently,Sales,3,Marketing,2,Male,3,Sales Executive,2,Married," 10,596","? 10,596",10k-15k,2,No,11,3,14,5,3,4,2,3,2
RM137,51,46-55,Yes,Travel_Frequently,Research & Development,4,Life Sciences,1,Male,1,Manufacturing Director,4,Single," 10,650","? 10,650",10k-15k,2,No,15,3,18,2,3,4,2,0,3
RM780,51,46-55,Yes,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,3,Research Scientist,3,Married," 2,461","? 2,461",Upto 5k,9,Yes,12,3,18,2,4,10,0,2,7
RM063,50,46-55,No,Travel_Rarely,Research & Development,2,Medical,2,Female,2,Research Director,3,Divorced," 18,740","? 18,740",15k+,5,Yes,12,3,29,2,2,27,3,13,8
RM107,50,46-55,No,Travel_Frequently,Research & Development,3,Life Sciences,1,Female,3,Research Director,2,Married," 18,172","? 18,172",15k+,3,Yes,19,3,28,1,2,8,3,0,7
RM1087,50,46-55,No,Travel_Frequently,Research & Development,5,Medical,3,Male,1,Research Director,4,Single," 14,411","? 14,411",10k-15k,1,Yes,13,3,32,2,3,32,6,13,9
